debian_pkg, CPAN_dist, CPAN_vers, N_bugs, N_patches
"cpan-listchanges", "cpan-listchanges", "0.05", "0", "0"
"cpanminus", "App-cpanminus", "1.4006", "0", "0"
"dh-make-perl", "https://alioth.debian.org/frs/download.php/3502/dh-make-perl_0.72.orig.tar.gz", "0.72", "12", "0"
"eekboek", "http://www.eekboek.nl/dl/EekBoek-2.00.03.tar.gz", "2.00.03", "2", "0"
"gearman-server", "Gearman-Server", "1.11", "1", "1"
"get-flash-videos", "http://googlecode.debian.net/p/get-flash-videos/App-get_flash_videos-1.24.tar.gz", "1.24", "0", "3"
"jifty", "Jifty", "0.91117", "1", "1"
"kephra", "Kephra", "not-uploaded", "0", "0"
"libacme-bleach-perl", "Acme-Bleach", "1.12", "0", "1"
"libacme-damn-perl", "Acme-Damn", "0.04", "0", "0"
"libacme-eyedrops-perl", "Acme-EyeDrops", "1.55", "0", "0"
"libacme-poe-knee-perl", "Acme-POE-Knee", "1.10", "0", "1"
"libalgorithm-c3-perl", "Algorithm-C3", "0.08", "0", "0"
"libalgorithm-diff-perl", "Algorithm-Diff", "1.19.02", "0", "2"
"libalgorithm-diff-xs-perl", "Algorithm-Diff-XS", "0.04", "0", "0"
"libalgorithm-merge-perl", "Algorithm-Merge", "0.08", "0", "1"
"libalgorithm-munkres-perl", "Algorithm-Munkres", "0.08", "0", "0"
"libalgorithm-permute-perl", "Algorithm-Permute", "0.12", "0", "0"
"libalias-perl", "Alias", "2.32", "0", "0"
"libaliased-perl", "aliased", "0.30", "0", "0"
"libalien-wxwidgets-perl", "Alien-wxWidgets", "0.51", "0", "1"
"libalzabo-perl", "Alzabo", "0.92", "0", "0"
"libamazon-sqs-simple-perl", "Amazon-SQS-Simple", "1.06", "0", "0"
"libany-moose-perl", "Any-Moose", "0.14", "0", "1"
"libanydata-perl", "AnyData", "0.10", "0", "3"
"libanyevent-dbi-perl", "AnyEvent-DBI", "2.1", "0", "1"
"libanyevent-http-perl", "AnyEvent-HTTP", "2.11", "0", "0"
"libanyevent-irc-perl", "AnyEvent-IRC", "0.96", "0", "1"
"libanyevent-perl", "AnyEvent", "5.340", "0", "0"
"libanyevent-redis-perl", "AnyEvent-Redis", "0.23", "0", "0"
"libapache-asp-perl", "Apache-ASP", "2.61", "1", "2"
"libapache-authenhook-perl", "Apache-AuthenHook", "2.00-04", "0", "0"
"libapache-authznetldap-perl", "Apache-AuthzNetLDAP", "0.07", "0", "2"
"libapache-configfile-perl", "Apache-ConfigFile", "1.18", "0", "4"
"libapache-db-perl", "Apache-DB", "0.14", "0", "1"
"libapache-dbi-perl", "Apache-DBI", "1.10", "0", "3"
"libapache-dbilogger-perl", "Apache-DBILogger", "0.93", "0", "1"
"libapache-htgroup-perl", "Apache-Htgroup", "1.23", "1", "0"
"libapache-session-perl", "Apache-Session", "1.89", "0", "1"
"libapache-session-wrapper-perl", "Apache-Session-Wrapper", "0.34", "0", "0"
"libapache-sessionx-perl", "Apache-SessionX", "2.01", "2", "2"
"libapache2-authcassimple-perl", "Apache2-AuthCASSimple", "0.10", "1", "0"
"libapache2-authcookie-perl", "Apache-AuthCookie", "3.18", "0", "1"
"libapache2-authenntlm-perl", "Apache2-AuthenNTLM", "0.02", "0", "0"
"libapache2-mod-perl2", "http://perl.apache.org/dist/mod_perl-2.0.5.tar.gz", "2.0.5", "11", "11"
"libapache2-reload-perl", "Apache-Reload", "0.11", "1", "1"
"libapp-cli-perl", "App-CLI", "0.313", "0", "2"
"libapp-cmd-perl", "App-Cmd", "0.311", "0", "0"
"libapp-control-perl", "App-Control", "1.02", "0", "0"
"libapp-daemon-perl", "App-Daemon", "0.11", "0", "0"
"libapp-nopaste-perl", "App-Nopaste", "0.28", "0", "0"
"libapp-options-perl", "App-Options", "1.12", "0", "0"
"libapp-rad-perl", "App-Rad", "1.04", "0", "0"
"libapp-repl-perl", "App-REPL", "0.012", "0", "0"
"libarch-perl", "Arch", "0.5.2", "0", "0"
"libarchive-any-perl", "Archive-Any", "0.0932", "0", "0"
"libarchive-ar-perl", "Archive-Ar", "1.14", "0", "0"
"libarchive-zip-perl", "Archive-Zip", "1.30", "2", "3"
"libarray-compare-perl", "Array-Compare", "2.01", "0", "0"
"libarray-diff-perl", "Array-Diff", "0.07", "0", "0"
"libarray-printcols-perl", "Array-PrintCols", "2.1", "0", "0"
"libarray-unique-perl", "Array-Unique", "0.08", "0", "0"
"libasa-perl", "asa", "0.02", "0", "0"
"libaspect-perl", "Aspect", "0.96", "0", "0"
"libastro-fits-cfitsio-perl", "Astro-FITS-CFITSIO", "1.05", "2", "0"
"libastro-fits-header-perl", "Astro-FITS-Header", "3.03", "0", "1"
"libasync-interrupt-perl", "Async-Interrupt", "1.05", "0", "0"
"libasync-mergepoint-perl", "Async-MergePoint", "0.03", "0", "0"
"libaudio-cd-perl", "http://www.vanhemert.co.uk/disc-cover.html/files/Audio-CD-0.05.tar.gz", "0.05", "0", "1"
"libaudio-ecasound-perl", "Audio-Ecasound", "1.01", "1", "1"
"libaudio-file-perl", "Audio-File", "0.11", "1", "1"
"libaudio-flac-decoder-perl", "Audio-FLAC-Decoder", "0.3", "1", "2"
"libaudio-flac-header-perl", "Audio-FLAC-Header", "2.4", "0", "0"
"libaudio-moosic-perl", "Audio-Moosic", "0.10", "1", "0"
"libaudio-mpd-common-perl", "Audio-MPD-Common", "1.110550", "0", "0"
"libaudio-mpd-perl", "Audio-MPD", "1.110560", "0", "0"
"libaudio-musepack-perl", "Audio-Musepack", "1.0.1", "0", "0"
"libaudio-rpld-perl", "Audio-RPLD", "0.003", "0", "1"
"libaudio-scan-perl", "Audio-Scan", "0.87", "0", "0"
"libaudio-wav-perl", "Audio-Wav", "0.12", "0", "1"
"libaudio-wma-perl", "Audio-WMA", "1.3", "0", "0"
"libauth-yubikey-decrypter-perl", "Auth-Yubikey_Decrypter", "0.07", "0", "0"
"libauth-yubikey-webclient-perl", "Auth-Yubikey_WebClient", "2.00", "0", "0"
"libauthen-bitcard-perl", "Authen-Bitcard", "0.89", "0", "1"
"libauthen-captcha-perl", "Authen-Captcha", "1.023", "0", "2"
"libauthen-cas-client-perl", "Authen-CAS-Client", "0.05", "0", "0"
"libauthen-dechpwd-perl", "Authen-DecHpwd", "2.005", "0", "0"
"libauthen-krb5-admin-perl", "Authen-Krb5-Admin", "0.11", "0", "2"
"libauthen-krb5-perl", "Krb5", "1.9", "0", "3"
"libauthen-krb5-simple-perl", "Authen-Krb5-Simple", "0.42", "0", "0"
"libauthen-ntlm-perl", "NTLM", "1.08", "0", "1"
"libauthen-pam-perl", "Authen-PAM", "0.16", "0", "0"
"libauthen-passphrase-perl", "Authen-Passphrase", "0.007", "0", "0"
"libauthen-radius-perl", "RadiusPerl", "0.20", "0", "3"
"libauthen-sasl-cyrus-perl", "Authen-SASL-Cyrus", "0.13-server", "0", "7"
"libauthen-sasl-perl", "Authen-SASL", "2.1500", "0", "1"
"libauthen-simple-cdbi-perl", "Authen-Simple-CDBI", "0.2", "0", "0"
"libauthen-simple-dbi-perl", "Authen-Simple-DBI", "0.2", "0", "0"
"libauthen-simple-dbm-perl", "Authen-Simple-DBM", "0.2", "0", "0"
"libauthen-simple-http-perl", "Authen-Simple-HTTP", "0.2", "0", "0"
"libauthen-simple-kerberos-perl", "Authen-Simple-Kerberos", "0.1", "0", "0"
"libauthen-simple-ldap-perl", "Authen-Simple-LDAP", "0.2", "0", "0"
"libauthen-simple-net-perl", "Authen-Simple-Net", "0.2", "0", "0"
"libauthen-simple-pam-perl", "Authen-Simple-PAM", "0.2", "0", "0"
"libauthen-simple-passwd-perl", "Authen-Simple-Passwd", "0.6", "0", "0"
"libauthen-simple-perl", "Authen-Simple", "0.4", "0", "0"
"libauthen-simple-radius-perl", "Authen-Simple-RADIUS", "0.1", "0", "0"
"libauthen-simple-smb-perl", "Authen-Simple-SMB", "0.1", "0", "0"
"libauthen-smb-perl", "Authen-Smb", "0.91", "0", "1"
"libauthen-tacacsplus-perl", "Authen-TacacsPlus", "0.20", "0", "0"
"libautobox-core-perl", "autobox-Core", "1.2", "0", "0"
"libautobox-list-util-perl", "autobox-List-Util", "20090629", "0", "0"
"libautobox-perl", "autobox", "2.72", "0", "1"
"libautodie-perl", "autodie", "2.10", "0", "0"
"libautovivification-perl", "autovivification", "0.09", "0", "0"
"libb-hooks-endofscope-perl", "B-Hooks-EndOfScope", "0.08", "0", "0"
"libb-hooks-op-annotation-perl", "B-Hooks-OP-Annotation", "0.44", "0", "0"
"libb-hooks-op-check-perl", "B-Hooks-OP-Check", "0.18", "0", "0"
